Generation: 1 | -3.00638 2.08619  | Fitness: -1.99502
Generation: 123 | -0.637118 -0.227094  | Fitness: -2
Generation: 124 | -0.63723 -0.226791  | Fitness: -2
Generation: 125 | -0.637117 -0.226656  | Fitness: -2
Generation: 126 | -0.637117 -0.226656  | Fitness: -2
Generation: 127 | -0.636982 -0.22651  | Fitness: -1.99996
Generation: 128 | -0.636961 -0.226487  | Fitness: -1.99995
Generation: 129 | -0.636961 -0.226487  | Fitness: -1.99995
Generation: 130 | -0.636961 -0.226487  | Fitness: -1.99995
Generation: 131 | -0.636627 -0.226155  | Fitness: -1.99972
Generation: 132 | -0.636627 -0.226155  | Fitness: -1.99972
Generation: 133 | -0.636374 -0.225876  | Fitness: -1.9994
Generation: 134 | -0.63673 -0.225342  | Fitness: -1.99956
Generation: 135 | -0.636369 -0.225861  | Fitness: -1.99939
Generation: 136 | -0.636369 -0.225861  | Fitness: -1.99939
Generation: 137 | -0.63636 -0.225846  | Fitness: -1.99937
Generation: 138 | -0.629431 -0.246739  | Fitness: -1.99996
Generation: 139 | -0.635678 -0.224822  | Fitness: -1.9977
Generation: 140 | -0.635445 -0.224698  | Fitness: -1.99709
Generation: 141 | -0.635445 -0.224698  | Fitness: -1.99709
Generation: 142 | -0.629758 -0.248987  | Fitness: -1.99959
Generation: 143 | -0.636795 -0.228065  | Fitness: -2
Generation: 144 | -0.63654 -0.227895  | Fitness: -1.99997
Generation: 145 | -0.629608 -0.238688  | Fitness: -1.99518
Generation: 146 | -0.629726 -0.238731  | Fitness: -1.99558
Generation: 147 | -0.629605 -0.238595  | Fitness: -1.99507
Generation: 148 | -0.629605 -0.238595  | Fitness: -1.99507
Generation: 149 | -0.637245 -0.22968  | Fitness: -1.99941
Generation: 150 | -0.636689 -0.229262  | Fitness: -1.99992
Generation: 151 | -0.636021 -0.229232  | Fitness: -1.99996
Generation: 152 | -0.635892 -0.233493  | Fitness: -1.99937
Generation: 153 | -0.357556 0.0706234  | Fitness: -1.99979
Generation: 154 | -0.635644 -0.233207  | Fitness: -1.9997
Generation: 155 | -0.63544 -0.232919  | Fitness: -1.99989
Generation: 156 | -0.635339 -0.232922  | Fitness: -1.99993
Generation: 157 | -0.635136 -0.232941  | Fitness: -1.99998
Generation: 158 | -0.635136 -0.232941  | Fitness: -1.99998
Generation: 159 | -0.634217 -0.234606  | Fitness: -1.99999
Generation: 160 | -0.351449 0.0788528  | Fitness: -1.9998
Generation: 161 | -0.62915 -0.24728  | Fitness: -1.99994
Generation: 162 | -0.629144 -0.247337  | Fitness: -1.99995
Generation: 163 | -0.629144 -0.247337  | Fitness: -1.99995
Generation: 164 | -0.356465 0.0729452  | Fitness: -1.9999
Generation: 165 | -0.356719 0.0722298  | Fitness: -1.99988
Generation: 166 | -0.356988 0.0719039  | Fitness: -1.99985
Generation: 167 | -0.35675 0.0640535  | Fitness: -2
Generation: 168 | -0.35675 0.0640535  | Fitness: -2
Generation: 169 | -0.356523 0.0643708  | Fitness: -2
Generation: 170 | -0.356525 0.0643681  | Fitness: -2
Generation: 171 | -0.356525 0.0643681  | Fitness: -2
Generation: 172 | -0.356474 0.0640262  | Fitness: -2
Generation: 173 | -0.35654 0.0639605  | Fitness: -2
Generation: 174 | -0.35654 0.0639605  | Fitness: -2
Generation: 175 | -0.356667 0.0631497  | Fitness: -2
Generation: 176 | -0.361829 0.0193197  | Fitness: -2
Generation: 177 | -0.356988 0.0619879  | Fitness: -2
Generation: 178 | -0.356988 0.0619879  | Fitness: -2
Generation: 179 | -0.357292 0.0608562  | Fitness: -2
Generation: 180 | -0.36171 0.0194583  | Fitness: -2
Generation: 181 | -0.357368 0.0601419  | Fitness: -2
Generation: 182 | -0.357232 0.0601939  | Fitness: -2
Generation: 183 | -0.357235 0.0603373  | Fitness: -2
Generation: 184 | -0.357629 0.0586455  | Fitness: -2
Generation: 185 | -0.357679 0.0576432  | Fitness: -2
Generation: 186 | -0.361828 0.0201691  | Fitness: -2
Generation: 187 | -0.361765 0.020803  | Fitness: -2
Generation: 188 | -0.361761 0.0166754  | Fitness: -2
Generation: 189 | -0.361761 0.0166754  | Fitness: -2
Generation: 190 | -0.361221 0.0272591  | Fitness: -2
Generation: 191 | -0.361221 0.0272591  | Fitness: -2
Generation: 192 | -0.361221 0.0272591  | Fitness: -2
Generation: 193 | -0.361221 0.0272591  | Fitness: -2
Generation: 194 | -0.361221 0.0272591  | Fitness: -2
Generation: 195 | -0.361221 0.0272591  | Fitness: -2
Generation: 196 | -0.360975 0.0273738  | Fitness: -2
Generation: 197 | -0.361033 0.0132985  | Fitness: -1.99995
Generation: 198 | -0.361085 0.0134388  | Fitness: -1.99996
Generation: 199 | -0.363218 0.0142989  | Fitness: -1.99994
Generation: 200 | -0.363176 0.0143217  | Fitness: -1.99994
