Generation: 1 | -2.10237 1.48575  | Fitness: -1.99718
Generation: 33 | -4.48644 -3.33917  | Fitness: -1.99993
Generation: 34 | -1.50352 -1.51567  | Fitness: -1.99627
Generation: 35 | -4.03903 -3.17097  | Fitness: -1.98335
Generation: 36 | -2.47046 -1.78522  | Fitness: -1.99073
Generation: 37 | -1.64301 -1.60212  | Fitness: -1.99257
Generation: 38 | 2.48327 2.6522  | Fitness: -1.99147
Generation: 39 | 2.44371 2.60609  | Fitness: -1.99871
Generation: 40 | 2.40146 2.56951  | Fitness: -1.99714
Generation: 41 | 2.48327 2.6522  | Fitness: -1.99147
Generation: 42 | 1.95164 2.17336  | Fitness: -1.99314
Generation: 43 | 0.473674 0.482933  | Fitness: -1.99999
Generation: 44 | -2.24654 -1.60045  | Fitness: -1.99283
Generation: 45 | -3.31469 -2.84361  | Fitness: -1.99946
Generation: 46 | 1.76497 1.97815  | Fitness: -1.99722
Generation: 47 | 1.76497 1.97815  | Fitness: -1.99722
Generation: 48 | -0.0843786 0.362027  | Fitness: -1.99584
Generation: 49 | 0.0600371 0.357186  | Fitness: -2
Generation: 50 | -1.2708 -1.23269  | Fitness: -1.99543
Generation: 51 | -1.2708 -1.23269  | Fitness: -1.99543
Generation: 52 | -1.54536 -1.2901  | Fitness: -1.99182
Generation: 53 | -1.22593 -1.19531  | Fitness: -1.99871
Generation: 54 | -2.90277 -2.49471  | Fitness: -1.9994
Generation: 55 | -2.88554 -3.33247  | Fitness: -1.99915
Generation: 56 | -1.45845 -1.44858  | Fitness: -1.99966
Generation: 57 | 1.65719 1.89928  | Fitness: -1.99831
Generation: 58 | -2.00547 -1.4572  | Fitness: -1.99843
Generation: 59 | -2.00547 -1.4572  | Fitness: -1.99843
Generation: 60 | -2.72526 -2.33121  | Fitness: -1.99951
Generation: 61 | -2.69811 -2.30995  | Fitness: -1.98874
Generation: 62 | -0.0953805 0.36292  | Fitness: -1.99201
Generation: 63 | -0.118426 0.34816  | Fitness: -1.99865
Generation: 64 | -0.0983496 0.355706  | Fitness: -1.9979
Generation: 65 | -0.0983496 0.355706  | Fitness: -1.9979
Generation: 66 | -0.0995037 0.350902  | Fitness: -1.99974
Generation: 67 | -0.102458 0.347417  | Fitness: -2
Generation: 68 | -0.0987693 0.355215  | Fitness: -1.99813
Generation: 69 | -0.0996177 0.354148  | Fitness: -1.99857
Generation: 70 | -0.0996177 0.354148  | Fitness: -1.99857
Generation: 71 | -0.0996177 0.354148  | Fitness: -1.99857
Generation: 72 | -0.102129 0.351691  | Fitness: -1.99931
Generation: 73 | -0.102979 0.343012  | Fitness: -1.99923
Generation: 74 | -0.102979 0.343012  | Fitness: -1.99923
Generation: 75 | -0.104993 0.34104  | Fitness: -1.99869
Generation: 76 | -0.104993 0.34104  | Fitness: -1.99869
Generation: 77 | -0.0814829 0.360129  | Fitness: -1.99779
Generation: 78 | -0.0840826 0.357484  | Fitness: -1.99889
Generation: 79 | -0.0870541 0.354618  | Fitness: -1.99964
Generation: 80 | -0.0891043 0.352451  | Fitness: -1.99993
Generation: 81 | -0.0906514 0.350494  | Fitness: -2
Generation: 82 | -0.0900206 0.351481  | Fitness: -1.99999
Generation: 83 | -0.0904806 0.351031  | Fitness: -2
Generation: 84 | -0.0906679 0.350885  | Fitness: -2
Generation: 85 | -0.0934504 0.347835  | Fitness: -1.99979
Generation: 86 | -0.0956934 0.345461  | Fitness: -1.99935
Generation: 87 | -0.0971494 0.344023  | Fitness: -1.99898
Generation: 88 | -0.0992692 0.341792  | Fitness: -1.99823
Generation: 89 | -0.0992692 0.341792  | Fitness: -1.99823
Generation: 90 | -0.0992692 0.341792  | Fitness: -1.99823
Generation: 91 | -0.0993062 0.341744  | Fitness: -1.99821
Generation: 92 | -0.101924 0.338869  | Fitness: -1.99695
Generation: 93 | -2.34243 -2.02187  | Fitness: -1.99759
Generation: 94 | -2.34243 -2.02187  | Fitness: -1.99759
Generation: 95 | -2.34243 -2.02187  | Fitness: -1.99759
Generation: 96 | -2.34243 -2.02187  | Fitness: -1.99759
Generation: 97 | -2.30393 -1.98166  | Fitness: -1.99399
Generation: 98 | -2.30393 -1.98166  | Fitness: -1.99399
Generation: 99 | 0.332517 0.183995  | Fitness: -1.98462
Generation: 100 | 0.3238 0.154968  | Fitness: -1.99951
Generation: 101 | 0.325241 0.156002  | Fitness: -1.99989
Generation: 102 | 0.325241 0.156002  | Fitness: -1.99989
Generation: 103 | 0.316081 0.182025  | Fitness: -1.99973
Generation: 104 | 0.308071 0.181519  | Fitness: -1.99902
Generation: 105 | 0.323426 0.164822  | Fitness: -1.99998
Generation: 106 | 0.313763 0.163785  | Fitness: -1.997
Generation: 107 | -0.47365 -0.479214  | Fitness: -1.99653
Generation: 108 | 0.31285 0.152159  | Fitness: -1.99142
Generation: 109 | 0.31285 0.152159  | Fitness: -1.99142
Generation: 110 | 0.319228 0.153262  | Fitness: -1.99712
Generation: 111 | 0.319118 0.153243  | Fitness: -1.99705
Generation: 112 | 0.31838 0.151874  | Fitness: -1.99612
Generation: 113 | 0.317956 0.153249  | Fitness: -1.99628
Generation: 114 | 0.317538 0.151805  | Fitness: -1.99547
Generation: 115 | 0.316915 0.151731  | Fitness: -1.99495
Generation: 116 | 0.316651 0.15175  | Fitness: -1.99475
Generation: 117 | 0.318689 0.156632  | Fitness: -1.99776
Generation: 118 | 0.317614 0.155282  | Fitness: -1.99672
Generation: 119 | 0.317582 0.155213  | Fitness: -1.99667
Generation: 120 | 0.317571 0.155212  | Fitness: -1.99667
Generation: 121 | 0.316649 0.154799  | Fitness: -1.99589
Generation: 122 | -0.478217 -0.479961  | Fitness: -1.99921
Generation: 123 | 0.316003 0.154864  | Fitness: -1.99543
Generation: 124 | 0.315284 0.154014  | Fitness: -1.99452
Generation: 125 | 0.31499 0.154052  | Fitness: -1.99429
Generation: 126 | 0.31499 0.154052  | Fitness: -1.99429
Generation: 127 | 0.314492 0.153626  | Fitness: -1.99368
Generation: 128 | 0.314298 0.153498  | Fitness: -1.99345
Generation: 129 | 0.314298 0.153498  | Fitness: -1.99345
Generation: 130 | 0.314298 0.153498  | Fitness: -1.99345
Generation: 131 | 0.313996 0.153146  | Fitness: -1.99301
Generation: 132 | 0.489723 -1.75702  | Fitness: -1.99988
Generation: 133 | 0.469046 -0.482264  | Fitness: -1.99311
Generation: 134 | 0.469121 -0.489192  | Fitness: -1.99885
Generation: 135 | 0.242904 -0.269925  | Fitness: -1.99997
Generation: 136 | 0.247096 -0.264032  | Fitness: -1.99998
Generation: 137 | 0.2508 -0.257606  | Fitness: -1.99966
Generation: 138 | 0.480048 0.475876  | Fitness: -1.99992
Generation: 139 | 0.220378 -0.283246  | Fitness: -1.99948
Generation: 140 | 0.209001 -0.308292  | Fitness: -1.99516
Generation: 141 | 0.478986 0.474848  | Fitness: -1.99814
Generation: 142 | 0.479775 0.475266  | Fitness: -1.99945
Generation: 143 | 0.218109 -0.287496  | Fitness: -1.99991
Generation: 144 | 0.218212 -0.286884  | Fitness: -1.99984
Generation: 145 | 0.217879 -0.287101  | Fitness: -1.99984
Generation: 146 | 0.218069 -0.286893  | Fitness: -1.99983
Generation: 147 | 0.218069 -0.286893  | Fitness: -1.99983
Generation: 148 | 0.218069 -0.286893  | Fitness: -1.99983
Generation: 149 | 0.188718 -0.307258  | Fitness: -1.99987
Generation: 150 | 0.18669 -0.307532  | Fitness: -1.99971
Generation: 151 | 0.18669 -0.307532  | Fitness: -1.99971
Generation: 152 | 0.131662 -0.339935  | Fitness: -1.99978
Generation: 153 | 0.132662 -0.339109  | Fitness: -1.99985
Generation: 154 | 0.162785 -0.322579  | Fitness: -1.99996
Generation: 155 | 0.161725 -0.323313  | Fitness: -1.99997
Generation: 156 | 0.161234 -0.323334  | Fitness: -1.99995
Generation: 157 | 0.107403 -0.345189  | Fitness: -1.99997
Generation: 158 | 0.106663 -0.345568  | Fitness: -1.99998
Generation: 159 | 0.107219 -0.345731  | Fitness: -1.99999
Generation: 160 | 0.133635 -0.3364  | Fitness: -1.99999
Generation: 161 | 0.10702 -0.345468  | Fitness: -1.99998
Generation: 162 | 0.10702 -0.345468  | Fitness: -1.99998
Generation: 163 | 0.10702 -0.345468  | Fitness: -1.99998
Generation: 164 | 0.107017 -0.345656  | Fitness: -1.99999
Generation: 165 | 0.107017 -0.345656  | Fitness: -1.99999
Generation: 166 | 0.107025 -0.34565  | Fitness: -1.99999
Generation: 167 | 0.10699 -0.345719  | Fitness: -1.99999
Generation: 168 | 0.107977 -0.344938  | Fitness: -1.99997
Generation: 169 | -1.64924 -0.331219  | Fitness: -2
Generation: 170 | -1.64924 -0.331219  | Fitness: -2
Generation: 171 | 0.108467 -0.344547  | Fitness: -1.99995
Generation: 172 | 0.108286 -0.344545  | Fitness: -1.99994
Generation: 173 | 0.108286 -0.344545  | Fitness: -1.99994
Generation: 174 | 0.108286 -0.344545  | Fitness: -1.99994
Generation: 175 | 0.108362 -0.344343  | Fitness: -1.99992
Generation: 176 | 0.108708 -0.344177  | Fitness: -1.99991
Generation: 177 | 0.10871 -0.344174  | Fitness: -1.99991
Generation: 178 | 0.109112 -0.343652  | Fitness: -1.99986
Generation: 179 | 0.108647 -0.341814  | Fitness: -1.99941
Generation: 180 | 0.108185 -0.341828  | Fitness: -1.99937
Generation: 181 | 0.108875 -0.341525  | Fitness: -1.99935
Generation: 182 | 0.108744 -0.341358  | Fitness: -1.99928
Generation: 183 | 0.108744 -0.341358  | Fitness: -1.99928
Generation: 184 | -1.71011 -0.329426  | Fitness: -1.99944
Generation: 185 | -1.71001 -0.329193  | Fitness: -1.99791
Generation: 186 | -1.71001 -0.329193  | Fitness: -1.99791
Generation: 187 | -1.64955 -0.329096  | Fitness: -1.99979
Generation: 188 | -0.340142 -1.4726  | Fitness: -1.99942
Generation: 189 | -0.810713 0.476231  | Fitness: -1.99912
Generation: 190 | -0.972263 -0.339562  | Fitness: -1.9982
Generation: 191 | -1.6176 -0.330546  | Fitness: -1.99838
Generation: 192 | -0.0401587 -1.47252  | Fitness: -1.98472
Generation: 193 | 0.133087 0.339516  | Fitness: -1.99975
Generation: 194 | 0.131156 0.328877  | Fitness: -1.99709
Generation: 195 | -0.00911323 0.364982  | Fitness: -1.99965
Generation: 196 | 0.0212332 0.354331  | Fitness: -1.99768
Generation: 197 | 0.0212332 0.354331  | Fitness: -1.99768
Generation: 198 | -0.0432226 0.342157  | Fitness: -1.98768
Generation: 199 | -1.51958 -0.292961  | Fitness: -1.98816
Generation: 200 | -0.0695449 0.365921  | Fitness: -1.99514
