Generation: 1 | 2.92764 -0.0455755  | Fitness: -2.66838
Generation: 48 | -0.168149 -0.854156  | Fitness: -0.339073
Generation: 49 | -0.168758 -0.839933  | Fitness: -0.365496
Generation: 50 | 0.485969 -0.213338  | Fitness: -1.12016
Generation: 51 | 0.44568 -0.234425  | Fitness: -1.40604
Generation: 52 | 0.450286 -0.235368  | Fitness: -1.40017
Generation: 53 | 0.439021 -0.236551  | Fitness: -1.41129
Generation: 54 | 0.504617 -0.313812  | Fitness: -1.40226
Generation: 55 | 0.504617 -0.313812  | Fitness: -1.40226
Generation: 56 | 0.504617 -0.313812  | Fitness: -1.40226
Generation: 57 | 0.504617 -0.313812  | Fitness: -1.40226
Generation: 58 | 0.495669 -0.323622  | Fitness: -1.38698
Generation: 59 | 0.495669 -0.323622  | Fitness: -1.38698
Generation: 60 | 0.485827 -0.334984  | Fitness: -1.32486
Generation: 61 | 0.451935 -0.345945  | Fitness: -1.03656
Generation: 62 | 0.451935 -0.345945  | Fitness: -1.03656
Generation: 63 | 0.496231 -0.194971  | Fitness: -0.871006
Generation: 64 | 0.462073 -0.209196  | Fitness: -1.27294
Generation: 65 | 0.428894 -0.228305  | Fitness: -1.41158
Generation: 66 | 0.428894 -0.228305  | Fitness: -1.41158
Generation: 67 | 0.419098 -0.23622  | Fitness: -1.38652
Generation: 68 | 0.418981 -0.260074  | Fitness: -1.31094
Generation: 69 | 0.418981 -0.260074  | Fitness: -1.31094
Generation: 70 | 0.418426 -0.256023  | Fitness: -1.32442
Generation: 71 | 0.387387 -0.260002  | Fitness: -1.09442
Generation: 72 | 0.377507 -0.285705  | Fitness: -0.793648
Generation: 73 | 0.377136 -0.285872  | Fitness: -0.788072
Generation: 74 | 0.377136 -0.285872  | Fitness: -0.788072
Generation: 75 | 0.376269 -0.286304  | Fitness: -0.77462
Generation: 76 | 0.376269 -0.286304  | Fitness: -0.77462
Generation: 77 | 0.376269 -0.286304  | Fitness: -0.77462
Generation: 78 | 0.361809 -0.290386  | Fitness: -0.568479
Generation: 79 | 0.193604 0.294832  | Fitness: -1.11046
Generation: 80 | -0.505544 -0.355349  | Fitness: -0.351773
Generation: 81 | -0.491508 -0.354731  | Fitness: -0.381022
Generation: 82 | -0.492501 -0.359648  | Fitness: -0.375438
Generation: 83 | -0.492501 -0.359648  | Fitness: -0.375438
Generation: 84 | -0.507446 -0.376585  | Fitness: -0.310249
Generation: 85 | -0.414613 -0.395416  | Fitness: -0.320712
Generation: 86 | -0.429939 -0.415829  | Fitness: -0.387247
Generation: 87 | -0.445234 -0.426265  | Fitness: -0.390855
Generation: 88 | -0.460594 -0.445011  | Fitness: -0.339258
Generation: 89 | -0.416701 -0.398609  | Fitness: -0.334472
Generation: 90 | -0.418942 -0.402629  | Fitness: -0.348774
Generation: 91 | -0.434353 -0.415681  | Fitness: -0.39135
Generation: 92 | -0.434353 -0.415681  | Fitness: -0.39135
Generation: 93 | -0.435156 0.430628  | Fitness: -0.462054
Generation: 94 | -0.435156 0.430628  | Fitness: -0.462054
Generation: 95 | 0.33523 -0.265865  | Fitness: -0.476949
Generation: 96 | 0.33523 -0.265865  | Fitness: -0.476949
Generation: 97 | -0.43682 0.41418  | Fitness: -0.412745
Generation: 98 | -0.438027 -0.421658  | Fitness: -0.394526
Generation: 99 | -0.4454 -0.433698  | Fitness: -0.386369
Generation: 100 | -0.457592 -0.416545  | Fitness: -0.382782
Generation: 101 | -0.458628 -0.418088  | Fitness: -0.379898
Generation: 102 | -0.458628 -0.418088  | Fitness: -0.379898
Generation: 103 | -0.459108 -0.418686  | Fitness: -0.378559
Generation: 104 | -0.460195 -0.420108  | Fitness: -0.37524
Generation: 105 | -0.461016 -0.420997  | Fitness: -0.37273
Generation: 106 | -0.46123 -0.421152  | Fitness: -0.372135
Generation: 107 | -0.46123 -0.421152  | Fitness: -0.372135
Generation: 108 | -0.477286 -0.386693  | Fitness: -0.377117
Generation: 109 | -0.462828 -0.387324  | Fitness: -0.392067
Generation: 110 | -0.462828 -0.387324  | Fitness: -0.392067
Generation: 111 | -0.462828 -0.387324  | Fitness: -0.392067
Generation: 112 | -0.462828 -0.387324  | Fitness: -0.392067
Generation: 113 | -0.462828 -0.387324  | Fitness: -0.392067
Generation: 114 | -0.468872 -0.375425  | Fitness: -0.391751
Generation: 115 | -0.464001 -0.378127  | Fitness: -0.392518
Generation: 116 | -0.464001 -0.378127  | Fitness: -0.392518
Generation: 117 | -0.464808 -0.379586  | Fitness: -0.392406
Generation: 118 | -0.465493 -0.380829  | Fitness: -0.392116
Generation: 119 | -0.465698 -0.381077  | Fitness: -0.392013
Generation: 120 | -0.46634 -0.371025  | Fitness: -0.392142
Generation: 121 | -0.466946 -0.372441  | Fitness: -0.392276
Generation: 122 | -0.467163 -0.373783  | Fitness: -0.392277
Generation: 123 | -0.467163 -0.373783  | Fitness: -0.392277
Generation: 124 | 0.479183 -0.394814  | Fitness: -0.88865
Generation: 125 | 0.479183 -0.394814  | Fitness: -0.88865
Generation: 126 | 0.478898 -0.394815  | Fitness: -0.885839
Generation: 127 | 0.478898 -0.394815  | Fitness: -0.885839
Generation: 128 | 0.462152 -0.395121  | Fitness: -0.709573
Generation: 129 | 0.462152 -0.395121  | Fitness: -0.709573
Generation: 130 | 0.461611 -0.366738  | Fitness: -0.960332
Generation: 131 | 0.461064 -0.367249  | Fitness: -0.950955
Generation: 132 | 0.461113 -0.380665  | Fitness: -0.834817
Generation: 133 | 0.461113 -0.380665  | Fitness: -0.834817
Generation: 134 | 0.488523 -0.402091  | Fitness: -0.914729
Generation: 135 | 0.488523 -0.402091  | Fitness: -0.914729
Generation: 136 | 0.487762 -0.380846  | Fitness: -1.07988
Generation: 137 | 0.47025 -0.38306  | Fitness: -0.904766
Generation: 138 | 0.471933 -0.381465  | Fitness: -0.934686
Generation: 139 | 0.472141 -0.36646  | Fitness: -1.05661
Generation: 140 | 0.470958 -0.381932  | Fitness: -0.92137
Generation: 141 | 0.470714 -0.367292  | Fitness: -1.03808
Generation: 142 | 0.470477 -0.366498  | Fitness: -1.04209
Generation: 143 | 0.470703 -0.351875  | Fitness: -1.14741
Generation: 144 | 0.470215 -0.352727  | Fitness: -1.13812
Generation: 145 | 0.470215 -0.352727  | Fitness: -1.13812
Generation: 146 | 0.470215 -0.352727  | Fitness: -1.13812
Generation: 147 | 0.470215 -0.352727  | Fitness: -1.13812
Generation: 148 | 0.470215 -0.352727  | Fitness: -1.13812
Generation: 149 | 0.469502 -0.352765  | Fitness: -1.13243
Generation: 150 | 0.469502 -0.352765  | Fitness: -1.13243
Generation: 151 | 0.469502 -0.352765  | Fitness: -1.13243
Generation: 152 | 0.469253 -0.352795  | Fitness: -1.13032
Generation: 153 | 0.468755 -0.352851  | Fitness: -1.1261
Generation: 154 | 0.468266 -0.353072  | Fitness: -1.12078
Generation: 155 | 0.468253 -0.353075  | Fitness: -1.12067
Generation: 156 | 0.467743 -0.353335  | Fitness: -1.11488
Generation: 157 | 0.467743 -0.353335  | Fitness: -1.11488
Generation: 158 | 0.452572 -0.32865  | Fitness: -1.16178
Generation: 159 | 0.451865 -0.329377  | Fitness: -1.15189
Generation: 160 | 0.451865 -0.329377  | Fitness: -1.15189
Generation: 161 | 0.451648 -0.330048  | Fitness: -1.14593
Generation: 162 | 0.484358 -0.330743  | Fitness: -1.33421
Generation: 163 | 0.48267 -0.331474  | Fitness: -1.32448
Generation: 164 | 0.48215 -0.331491  | Fitness: -1.32215
Generation: 165 | 0.481648 -0.331508  | Fitness: -1.31987
Generation: 166 | 0.481648 -0.331508  | Fitness: -1.31987
Generation: 167 | 0.47946 -0.331649  | Fitness: -1.30929
Generation: 168 | 0.478514 -0.330868  | Fitness: -1.30804
Generation: 169 | 0.476797 -0.318495  | Fitness: -1.34632
Generation: 170 | 0.476797 -0.318495  | Fitness: -1.34632
Generation: 171 | 0.476797 -0.318495  | Fitness: -1.34632
Generation: 172 | 0.476797 -0.318495  | Fitness: -1.34632
Generation: 173 | 0.476797 -0.318495  | Fitness: -1.34632
Generation: 174 | 0.476797 -0.318495  | Fitness: -1.34632
Generation: 175 | 0.475509 -0.318497  | Fitness: -1.34144
Generation: 176 | 0.475505 -0.318511  | Fitness: -1.34137
Generation: 177 | 0.475278 -0.319303  | Fitness: -1.33778
Generation: 178 | 0.474997 -0.319088  | Fitness: -1.33741
Generation: 179 | 0.474997 -0.319088  | Fitness: -1.33741
Generation: 180 | 0.473025 -0.319094  | Fitness: -1.32929
Generation: 181 | 0.472727 -0.31911  | Fitness: -1.32796
Generation: 182 | 0.472727 -0.31911  | Fitness: -1.32796
Generation: 183 | 0.455874 -0.319673  | Fitness: -1.23664
Generation: 184 | 0.455 -0.319692  | Fitness: -1.23104
Generation: 185 | 0.455 -0.319692  | Fitness: -1.23104
Generation: 186 | 0.455 -0.319692  | Fitness: -1.23104
Generation: 187 | 0.412271 -0.296515  | Fitness: -1.05351
Generation: 188 | 0.424449 -0.322442  | Fitness: -0.96761
Generation: 189 | 0.423671 -0.293337  | Fitness: -1.16805
Generation: 190 | 0.423671 -0.293337  | Fitness: -1.16805
Generation: 191 | 0.423671 -0.293337  | Fitness: -1.16805
Generation: 192 | 0.423671 -0.293337  | Fitness: -1.16805
Generation: 193 | 0.422451 -0.293425  | Fitness: -1.15832
Generation: 194 | 0.422451 -0.293425  | Fitness: -1.15832
Generation: 195 | 0.407861 -0.294974  | Fitness: -1.02521
Generation: 196 | 0.407612 -0.294128  | Fitness: -1.02928
Generation: 197 | 0.393138 -0.294122  | Fitness: -0.88832
Generation: 198 | 0.393138 -0.294122  | Fitness: -0.88832
Generation: 199 | 0.378401 -0.294154  | Fitness: -0.727922
Generation: 200 | 0.363696 -0.294833  | Fitness: -0.548612
